id,cantor,título,letra
1,Banda Sentimentos,Sentimentos,"Tudo começou a muito tempo
Eu sempre escondi meus sentimentos
Mas hoje eu vim aqui pra te dizer
Eu quero ser bem mais que um amigo pra você

Explica porque não tô entendendo
Eu sempre te falei nossa amizade vem primeiro
Desculpa não quero te ver sofrendo
Te amo mas só que não desse jeito

Vou deixar o tempo passar, e o que for de ser será
Mas não vou deixar de te amar
Quem sabe um dia, seus sentimentos possam mudar
Eu não sei o que te falar, mas prometo não me afastar
Não vou deixar o tempo passar
Quem sabe um dia seus sentimentos possam mudar

Vou deixar o tempo passar, e o que for de ser será
Mas não vou deixar de te amar
Quem sabe um dia, seus sentimentos possam mudar

Eu não sei o que te falar, mas prometo não me afastar
Não vou deixar o tempo passar
Quem sabe um dia seus sentimentos possam mudar"
2,Banda Sentimentos,Onde Estás,"Faz um tempo que você me deixou
Sofrendo com essa dor
Olhe um pouco para trás
O quanto me magoou
Eu, feito boba, acreditei
Fez sofrer quem mais te amou
Mais te amou

Tua boca, teu olhar, teu sorriso
Disso, sim, que eu preciso
Se te tenho do meu lado
Me sinto no paraíso
Volta logo
Nunca mais, não sou mais feliz contigo
Não contigo

E onde estás? Tu sem mim
Encontrei um novo amor que é fiel a mim
Esse, sim, me dá valor
E como fico?
Já falei, sinto muito, acabou, acabou

Tua boca, teu olhar, teu sorriso
Disso, sim, que eu preciso
Se te tenho do meu lado
Me sinto no paraíso
Volta logo
Nunca mais, não sou mais feliz contigo
Não contigo

E onde estás? Tu sem mim
Encontrei um novo amor que é fiel a mim
Esse, sim, me dá valor
E como fico?
Já falei, sinto muito, acabou, acabou

E onde estás? Tu sem mim
Encontrei um novo amor que é fiel a mim
Esse, sim, me dá valor
E como fico?
Já falei, sinto muito, acabou, acabou"
3,Banda Sentimentos,Pouca Roupa,"Ai que delicia que é te ver de pouca roupa
Ai que delícia que é beijar a sua boca
Ai que delícia que é te ver embriagada e suada de amor, de amor

Fecha a janela, tranca a porta e liga o abajur
Sou sua sombra na parede com seu corpo nu
Encenação de excitação é um tesão te ver assim
Todo pra mim, amor

Joga o vinho todo no seu corpo
Me chama pra eu ir tirando aos poucos
O som ligado baixo lá no fundo
Faz você dançar

Me joga contra a porta do banheiro
Pega e bagunça o meu cabelo
Fala sussurrando em meu ouvido
Que vai fazer amor comigo

Fecha a janela, tranca o quatro e liga o abajur
Só sua sombra na parede com seu corpo nu
Encenação de excitação é um tesão te ver assim
Todo pra mim, amor

Joga o vinho todo no seu corpo
Me chama pra eu ir tirando aos poucos
O som ligado baixo lá no fundo
Faz você dançar

Me joga contra a porta do banheiro
Pega e bagunça o meu cabelo
Fala sussurrando em meu ouvido
Que vai fazer amor comigo"
4,Banda Sentimentos,Vacilou,"Amor, não faz assim
Pode confiar em mim
Eu mudei, eu mudei
E não vou mais te machucar

Eu cansei, sai daqui
Tô gostando mais de mim
Não dá mais, não dá mais
Pra gente continuar

Tu só brincou com todo amor que eu te dei
Com tudo que eu te dei

Quem nunca errou
Não consigo aceitar que acabou
Não diz que acabou, não diz que acabou

Vacilou, brincou, demais
Tu não valorizou
E baby eu não te quero mais
Por favor, meu amor
Não vai
Tu não valorizou
E baby eu não te quero mais

Baby volta pra mim
Não vou
Baby volta pra mim
Não vou

Tu não valorizou
E baby eu não te quero mais

Baby volta pra mim
Não vou
Baby volta pra mim
Não vou

Tu não valorizou
E baby eu não te quero mais"
5,Banda Sentimentos,Traição,"Por quê você fez isso comigo?
Por quê você me deu esse castigo?
Você não foi homem pra dar valor
E agora tudo terminou

Foi mal, eu não pensei naquela hora
Fui mal, eu destruir a nossa história
Por uma noite fria, eu troquei o meu amor

Já não posso mais, e arrepender
Vou ter que levar a sina de sofrer por você
Já não sei mais, se eu posso confiar em você

Sai de perto de mim, quero voltar atrás
Entenda que quando se ama a gente não trai
Por favor, esqueça o meu erro
Antes de fazer você devia pensar primeiro
Então sai de perto de mim, me perdoa eu não quero o fim
Viva sua vida, vou viver feliz"
6,Banda Sentimentos,Você não é ele,"Por favor me diz
Onde foi que eu errei
Eu sempre fiz tudo certo
Com você, jogo aberto, como vacilei?

É que antes de você
Ele já existia
Eu te falei a verdade
Isso não é novidade
Você já sabia

Mesmo sabendo resolvi apostar no amor
Me enganei achando que iria ser feliz
E agora como vou fazer pra conviver com a dor
Me diz

Te pelo uma chance
(Não dá, não dá mais)
Te juro ser, melhor que antes
Não acabe o nosso romance

Estou com você
Mas é nele que eu penso
E esse é o motivo do clima estar tenso
Me desculpa se você não é água que mata minha sede
Eu sei que você não tem culpa

Estou com você
Mas é nele que eu penso
E esse é o motivo do clima estar tenso
Me desculpa se você não é água que mata minha sede
Eu sei que você não tem culpa
Mas o problema é que você não é ele"
7,Mc Tocha,Não Vou Desistir,"Tudo que vai
Sei que uma hora volta atrás
E se não vai
É porque no fundo falta algo mais

Você sempre insiste em me procurar
Mas sabe que não vai adiantar de nada
Tá vendo que não tem mais jeito
Aceita que é o nosso fim

Não tem mais recomeço
É sempre assim, quanto mais eu tento
Você não tá nem aí
Mas eu já falei que não vou desistir de ti
Não vou desistir, não vou desistir

Saudades de mim?
Toda vez que bebe tu liga pra mim
Põe na tua cabeça que é o nosso fim
A culpa foi sua não fale de mim
É sempre assim

Todo mundo tá ligado
Raphaela Santos, a favorita

Você sempre insiste em me procurar
Mas sabe que não vai adiantar de nada
Tá vendo que não tem mais jeito
Aceita que é o nosso fim
Não tem mais recomeço

É sempre assim, quanto mais eu tento
Você não tá nem aí
Mas eu já falei que não vou desistir de ti
Não vou desistir, não vou desistir

Saudades de mim?
Toda vez que bebe tu liga pra mim
Põe na tua cabeça que é o nosso fim
A culpa foi sua não fale de mim
É sempre assim
Quanto mais eu tento
Você não tá nem aí
Mas eu já falei que não vou desistir de ti
Não vou desistir, não vou desistir

Saudades de mim?
Toda vez que bebe tu liga pra mim
Põe na tua cabeça que é o nosso fim
A culpa foi sua não fale de mim"
8,Mc Tocha,Que Delícia Amor,"Kakau Rodrigues
E o Tocha
Alô?

Passa essa noite comigo aqui
Minha cama tá com saudades de ti
Ai que delícia que é te sentir
Meu amor, eu vou te satisfazer
Tô me arrumando e vou chegar aí
Prepara o chá que eu levo a lingerie
Vamos fazer a fumaça subir
Enquanto passa o filme na TV

O filme vai ser você
O filme vai ser você
Ah-ah, ah-ah
Quero tua boca descendo meu corpo
Eu fico louco
Eu viajo em você
Não para
Sei que você gosta assim
De te sentir
Quero por cima de mim
Só pra me assistir
Não me olha assim

Ah-ah, ah-ah
Que delícia, amor
Que delícia, amor
Que delícia, amor
Ah-ah, ah-ah
Que delícia, amor
Que delícia, amor
Que delícia, amor
Ah-ah, ah-ah

Quero tua boca descendo meu corpo
Eu fico louco
Eu viajo em você
Não para
Sei que você gosta assim
De te sentir
Quero por cima de mim
Só pra me assistir
Não me olha assim

Ah-ah, ah-ah
Que delícia, amor
Que delícia, amor
Que delícia, amor
Ah-ah, ah-ah
Que delícia, amor
Que delícia, amor
Que delícia, amor
Ah-ah, ah-ah
Que delícia, amor
Que delícia, amor
Que delícia, amor
Ah-ah, ah-ah
Que delícia, amor
Que delícia, amor
Que delícia, amor"
9,Raphaela Santos,Quem É o Louco Entre Nós,"Tô lutando contra essa vontade de ligar
Digitei seu número
Mas tive que apagar
Escrevi te amo
E desisti de enviar
Te mandei embora
Pensando que ia voltar

Você botou um ponto final
Eu só queria chamar tua atenção
Confesso sem você
Eu tô mal
Agora tô chorando sentada no chão

Quem é o louco entre nós?
Quem é o louco entre nós?

Eu que disse adeus
Querendo ficar
Você que se foi
Pra não mais voltar
Eu não sei
Quem é o louco entre nós

Tô lutando contra
Essa vontade de ligar
Digitei seu número
Mas tive que apagar
Escrevi te amo
E desisti de enviar
Te mandei embora
Pensando que ia voltar

Você botou um ponto final
Eu só queria chamar sua atenção
Confesso sem você
Eu tô mal
Agora tô chorando sentada no chão

Quem é o louco entre nós?
Quem é o louco entre nós?

Eu que disse adeus
Querendo ficar
Você que se foi
Pra não mais voltar
Eu não sei
Quem é o louco entre nós

Quem é o louco entre nós?
Quem é o louco entre nós?

Eu que disse adeus
Querendo ficar
Você que se foi
Pra não mais voltar
Eu não sei
Quem é o louco entre nós

Eu não sei
Quem é o louco entre nós"
10,Raphaela Santos,Você Lembra,"Se eu tivesse te beijado mais
Escutado mais, prestado atenção em seus sinais
Não estaria no canto da sala
Te assistindo arrumar as malas

Se eu tivesse te levado
Pra jantar só nós dois
Ter um tempo, pra viajar
Iria pra Paris, eu você e essa mesma mala
Pausa, aí o tempo

Não vou perder o amor da minha vida pra arrependimento
Lembra o corpo suado dentro do meu abraço?

Olho no olho
Você lembra, dos dias difíceis
Aqui nessa casa, te fiz chorar de rir
Se tem um por cento de chance
Você vai voltar pra mim"
